task_title,task_description,location,materials,constraints,categories,skills_required,primary_type,group_or_solo,special_elements,alex_horne_role,series,episode,task_id,weirdness_score,creativity_required_score,physical_demand_score,technical_difficulty_score,entertainment_value_score,time_pressure_score,preparation_possible_score,luck_factor_score,task_unique_id,show_title,standardized_location,location_category,standardized_task_type,standardized_group_solo,std_weirdness_score,std_creativity_required_score,std_physical_demand_score,std_technical_difficulty_score,std_entertainment_value_score,std_time_pressure_score,std_preparation_possible_score,std_luck_factor_score
Bring in the most unusual item.,Contestants were asked to bring an item they deemed the most unusual to the Taskmaster studio. The task was a prize task that required contestants to prepare in advance by selecting and bringing an unusual item to be judged by Greg Davies.,Taskmaster studio,['Contestants provided their own materials by bringing items they considered unusual.'],"['The primary constraint was that the item had to be unusual.', 'The item would be forfeited to the winner of the task.']","['Creative thinking', 'Judgment-based', 'Prize-based']","['Creative thinking', 'Understanding of humor and Greg Davies’ preferences', 'Ability to justify and defend the chosen item as unusual', 'Willingness to part with personal items']",mental and creative,solo,[],Alex Horne assisted with the presentation of the items and engaged in banter with Greg and contestants.,1,1,1,8,9,1,2,8,3,9,3,1_1_1,Taskmaster UK,Studio,Studio/Stage,Creative,Solo,9,8,2,3,9,1,2,5
Eat as much watermelon as possible,Contestants were required to eat as much watermelon as they could within one minute. The task began as soon as they opened the door to the lab where the uncut watermelon was placed on a table.,The task took place in the lab of the Taskmaster house.,"['Single-use overalls', 'Safety goggles', 'Whole, uncut watermelon']","['Time limit of one minute.', 'The amount eaten was measured by the weight of the watermelon consumed.', 'Any watermelon inside the contestant at the time the whistle blew would be counted as eaten.']","['Food-related', 'Physical', 'Time-based', 'Strategic']","['Quick thinking', 'Problem-solving', 'Physical stamina', 'Precision in handling and eating']",physical,solo,[],Alex observed the task and later measured the consumed watermelon by weighing the remains.,1,1,2,8,6,7,5,9,9,2,3,1_1_2,Taskmaster UK,Lab,Inside House,Physical,Solo,8,3,7,2,9,8,9,5
Paint the best picture of a horse whilst riding a horse.,"Contestants were required to paint a picture of a horse while mounted on a real horse. The painting supplies were provided, and contestants had to create the artwork without dismounting.",Outdoors at a riding arena or paddock.,"['A real horse for each contestant', 'Painting supplies, including canvas or paper and paints with brushes', 'An easel set up for use while mounted on the horse']","['Contestants had to remain mounted on the horse while painting', 'They were tasked with creating the best representation of a horse', 'No explicit time limit, but the task was expected to be completed in a reasonable timeframe']","['Art', 'Physical', 'Creative', 'Performance-based']","['Balance and coordination', 'Artistic ability', 'Creativity', 'Composure under pressure']",Artistic,Solo,[],"Alex Horne served as the task setter and observer, facilitating the task and providing commentary.",1,1,3,8,7,7,6,9,4,2,3,1_1_3,Taskmaster UK,Public Location,Other Locations,Creative,Solo,9,8,7,6,9,5,3,2
Empty the Bathtub,"Contestants were tasked with emptying a bathtub filled with water as quickly as possible, without removing the plug, tipping the tub, or causing any damage.",The task took place in a bathroom at the Taskmaster house.,"['buckets', 'cups', 'towels']","['Do not remove the plug.', 'Do not tip the bathtub.', 'Do not damage the bathtub.']","['Problem-solving', 'Time-based', 'Creative thinking', 'Physical']","['Creative problem-solving', 'Time management', 'Physical endurance', 'Resourcefulness']",Problem-solving,Solo,[],"He observed and timed the contestants, ensuring rules compliance.",1,1,4,6,8,5,5,8,7,3,2,1_1_4,Taskmaster UK,Bathroom,Inside House,Physical,Solo,8,7,6,4,9,8,3,2
Pop up a tent and pop on a onesie,"Contestants were required to pop up a tent, get inside, zip it up, put on a onesie while inside, and emerge from the tent wearing the onesie. The fastest to complete all steps won the task.",Studio stage during the live recording of the show.,"['A pop-up tent (collapsed)', 'A onesie (to be put on inside the tent)']","['The tent had to be fully popped up and zipped with the contestant inside.', 'The onesie had to be put on while inside the tent.', 'Contestants had to emerge from the tent wearing the onesie.', 'The task was timed, and the fastest contestant to complete all steps won.']","['Physical', 'Time-based', 'Clothing-related', 'Performance']","['Speed and agility', 'Coordination', 'Problem-solving', 'Dexterity', 'Calmness under pressure']",physical,solo,[],"Alex Horne facilitated and supervised the task, providing instructions and timing the contestants.",1,1,5,8,3,7,5,9,9,2,3,1_1_5,Taskmaster UK,Studio,Studio/Stage,Physical,Solo,8,4,6,3,7,9,3,2
Find Alex,"Contestants were tasked with finding Alex Horne, who was hiding somewhere inside the Taskmaster house. The objective was to locate him as quickly as possible, with the fastest contestant winning the task.",The task took place indoors at the Taskmaster house.,[],['Time; contestants had to find Alex as quickly as possible.'],"['Time-based', 'Physical', 'Search/Exploration']","['Spatial awareness', 'Efficient searching strategies', 'Calmness under pressure']",Physical,Solo,[],"Alex was the hiding target in the task, adding a personal element to the challenge.",1,1,6,4,3,4,2,7,9,1,3,1_1_6,Taskmaster UK,Other,Other Locations,Physical,Solo,8,6,4,3,7,9,8,5
The Most Impressive Item,"Contestants were asked to bring in what they considered to be the most impressive item from home. They presented these items in the Taskmaster studio, aiming to impress Greg Davies, who would judge and award points based on impressiveness.",Taskmaster studio,[],"['Each contestant could bring only one item.', ""The item had to be, in their view, the 'most impressive.'"", 'Greg Davies judged the impressiveness and awarded points accordingly.']","['Creativity', 'Presentation', 'Personal Achievement', 'Interpretation']","['Creative Interpretation', 'Persuasive Presentation', 'Storytelling', 'Strategic Thinking', ""Understanding of Greg Davies' preferences""]",Mental/Performance-based,Solo,['Involved storytelling and persuasive presentation.'],"Alex served as the Taskmaster's assistant, introducing the task and facilitating the presentation.",1,2,7,4,8,1,2,8,3,7,2,1_2_7,Taskmaster UK,Lab,Inside House,Performance-based,Solo,8,9,2,3,7,4,3,2
High-five a 55-year-old,Contestants were tasked with finding and high-fiving someone who was exactly 55 years old. The goal was to complete this task as quickly as possible.,The task took place in a busy shopping center where contestants had to interact with the public.,[],"['The contestant had to high-five someone who was exactly 55 years old.', 'The task timing started immediately after they read the task, and whoever completed it the fastest won.']","['Social Interaction', 'Time-based', 'Public Engagement', 'Persuasion']","['Social Courage', 'Quick Thinking', 'Persuasiveness', 'Efficiency in Identifying Age', 'Speed of Execution']",Performance-based (social interaction),Solo,[],"Alex Horne introduced the task and observed the contestants’ performances, providing commentary.",1,2,8,7,6,2,3,8,9,1,6,1_2_8,Taskmaster UK,Public Location,Other Locations,Performance-based,Solo,8,6,2,3,7,9,4,5
Identify the contents of the pies,"Contestants were challenged to identify the contents of various pies without cutting or breaching the pastry. They could touch, smell, and examine the pies externally to deduce their contents.",Taskmaster studio,"['Several pies with different fillings', 'Unusual contents such as toothpaste', 'A picture of the Taskmaster, Greg Davies']","['Contestants could not cut, break, or breach the pastry of the pies']","['Food-related', 'Sensory perception', 'Deductive reasoning', 'Mental challenge']","['Sensory perception (touch, smell)', 'Deductive reasoning', 'Creativity', 'Attention to detail']",Mental,Solo,[],Alex Horne acted as the task facilitator and provided humorous commentary and support to the contestants.,1,2,9,8,7,2,5,9,4,2,6,1_2_9,Taskmaster UK,Lab,Inside House,Mental,Solo,8,7,2,4,9,3,6,5
Do something that will look impressive in reverse.,"Contestants were required to perform an action that, when filmed and played backward, would look impressive. They needed to conceptualize and execute a task that would create an interesting or visually appealing reverse footage.",Taskmaster house,[],['The primary rule was that whatever action they performed would be evaluated based on how it appeared when the footage was reversed.'],"['Creative', 'Performance-based', 'Filmed', 'Conceptual']","['Creative thinking and imagination', 'Planning and conceptualization', 'Understanding of physics and movement in reverse', 'Performance ability']",performance,solo,"['Involved elements of performance, potentially including choreography or stunt-like actions.']","Alex's role was likely as the task presenter and facilitator, ensuring contestants understood the task parameters and assisting with the filming process.",1,2,10,8,9,4,6,9,5,4,3,1_2_10,Taskmaster UK,Lounge,Inside House,Performance-based,Solo,8,9,4,6,8,5,3,2
