name,series,placement,gender,date_of_birth,age_during_taskmaster,current_age,nationality,birthplace,accent,occupation,comedy_style,years_active,notable_shows,notable_moments,memorable_tasks,twitter_handle,instagram_handle,interesting_facts,tags,contestant_id
Frank Skinner,1,1,Male,1957-01-28,58,68,English,"West Bromwich, Staffordshire, England",West Midlands/Black Country,"Comedian, actor, presenter, writer","Blue comedy, musical comedy, observational comedy",Since 1987,"Fantasy Football League, The Frank Skinner Show, Baddiel and Skinner Unplanned, Room 101",Tied for second place with Romesh Ranganathan,Unknown,Unknown,Unknown,Professional name differs from birth name,"comedian, actor, presenter, writer, observational comedy, blue comedy, English, Taskmaster, radio host, podcaster",1
Josh Widdicombe,1,2,Male,1983-04-08,32,42,English,"Hammersmith, London, England",Likely Devon-influenced,"Comedian, presenter, actor",Distinctive comedic style,2008-present,"The Last Leg, Mock the Week, Josh, Hypothetical, Parenting Hell podcast",Winner of Series 1 and Champion of Champions,Unknown,Unknown,Unknown,Won Celebrity Mastermind with Blur as specialist subject,"comedian, presenter, actor, Taskmaster winner, British comedy, panel shows, sitcom creator, podcast host, versatile entertainer",2
Romesh Ranganathan,1,3,Male,1978-03-27,37,47,British,"Crawley, West Sussex, England","Southern English, West Sussex","Stand-up comedian, actor, presenter, writer, and podcaster","Deadpan, self-deprecating, borderline misanthropic humor",2010–present,"Asian Provocateur, The Misadventures of Romesh Ranganathan, The Ranganation, Judge Romesh, A League of Their Own, Irrational Live","Known for dry, sardonic responses and frequent exasperation with tasks","Struggled with creative/physical tasks, excelled in logic-based challenges",@RomeshRanga,@romeshranga,"Former mathematics teacher, 'lazy' right eye, frequent collaborator with mother Shanthi","deadpan, self-deprecating, comedian, British, Sri Lankan heritage, mathematics, Taskmaster, BAFTA winner, podcaster, TV presenter",4
Tim Key,1,4,Male,1976-09-02,38,48,British,"Cambridge, Cambridgeshire, England",Southern English,"Poet, comedian, actor, and screenwriter","Surreal, deadpan, and poetic comedy",2001–present,"Edinburgh Festival Fringe, Alan Partridge universe, See How They Run, The Double, Detectorists, Gap Year, The End of the F***ing World","Finished 4th, creative and poetic approaches to tasks","Melon buffet, Little denim shorts, Down an octave",@timkeyperson,Unknown,Joined the Cambridge Footlights despite not being a Cambridge University student,"Surreal, Poetic, Deadpan, Inventive, Absurdist, Comedian, British, Taskmaster, Actor, Screenwriter",5
Roisin Conaty,1,5,Female,1979-03-26,36,46,English,"Camden, London, England",Unknown,"Comedian, actress, writer","Observational humor, relatable comedic style",Since 2004,"GameFace, Man Down, Impractical Jokers, After Life",Finished last with 68 points,"Brought a colorful cardigan for prize task, completed ice block task in 30 minutes and 20 seconds",Unknown,Unknown,Irish-English heritage,"Comedian, Actress, Writer, Observational humor, Taskmaster contestant, GameFace creator, Irish-English, Versatile performer",3
Katherine Ryan,2,1,Female,June 1983,33,41,Canadian,"Sarnia, Ontario, Canada",Unknown,"Comedian, Writer, Presenter, Actress, Singer","Sharp observations, distinctive delivery",Unknown,"8 Out of 10 Cats, Never Mind the Buzzcocks, A League of Their Own, Mock the Week, Would I Lie to You?, QI, Just a Minute, Safeword, Have I Got News for You, The Duchess, Live at the Apollo","Winning Series 2 with 94 points, singing a lullaby about tooth decay, struggling to eat an egg, granting Greg Davies 'his lordship'","Singing a lullaby about tooth decay, struggling to eat an egg",Unknown,Unknown,"Canadian-born, based in UK, mother of three","Comedian, Canadian, Taskmaster Champion, Witty, Creative, Competitive, Television Personality, Writer, Actress, Presenter",9
Jon Richardson,2,2,Male,1982-09-26,33,42,English,"Lancaster, England",Lancashire,"Comedian, actor, presenter","Neurotic, obsessive-compulsive tendencies",Since 2003,"8 Out of 10 Cats, 8 Out of 10 Cats Does Countdown, Jon Richardson: Ultimate Worrier, Channel Hopping With Jon Richardson, Meet the Richardsons",Unknown,"Fear of failure, Pork is a sausage, A pistachio éclair, Welcome to Rico Face, There's strength in arches",Unknown,Unknown,Known for his obsessive-compulsive tendencies and anxiety in comedy,"comedian, neurotic, panel show regular, British, stand-up comedy, TV presenter, podcaster, Lancashire accent, meticulous, anxious persona",8
Richard Osman,2,3,Male,1970-11-28,45,54,British,"Billericay, Essex, England",Standard British,"Television Presenter, Producer, Novelist",Unknown,1993-present,"Pointless, Two Tribes, Richard Osman's House of Games, Insert Name Here, The Fake News Show",Returned to film 'Richard Osman Creates His Ultimate Taskmaster Episode',"Fear of failure, Pork is a sausage, A pistachio éclair, Welcome to Rico Face, There's strength in arches",Unknown,Unknown,"Stands at 6 feet 7 inches, Won Heat magazine's 'Weird Crush of the Year' in 2011, Huge fan of R.E.M.","Television Presenter, Novelist, British, Tall, Quiz Show Host, Creative, Witty, Intelligent, Bestselling Author",10
Doc Brown,2,4,Male,1977-09-21,38,47,British,"Kilburn, London, England, United Kingdom",London accent with urban London inflections,"Comedian, rapper, actor, screenwriter, presenter, and voiceover artist","Observational, musical comedy, storytelling, and satire",Early 2000s to present,"Stand-up tours across the UK, appearances on British comedy panel shows, acting roles in 'Law & Order: UK', 'The Inbetweeners', and 'Derek'",Creative thinking in tasks like 'pistachio éclair' and 'strength in arches',Performed well in tasks requiring lateral thinking and creativity,@docbrown88,@docbrown88,Younger brother of novelist Zadie Smith,"Comedian, Rapper, Actor, Creative, Observational humor, Musical comedy, Calm demeanor, London accent, Versatile, Witty",6
Joe Wilkinson,2,5,Male,1975-02-11,41,50,British,"Bromley, London, England","South East England accent, often described as Kentish or London-influenced","Comedian, actor, and screenwriter","Deadpan, surreal, and self-deprecating humor",2004–present,"8 Out of 10 Cats Does Countdown, Two Episodes of Mash, Live at the Electric, Not Going Out, Hobby Man","Infamous 'potato in a golf hole' task, finished 5th (last) with 69 points",'Potato in a golf hole' incident,@gillinghamjoe,Unknown,"Married to Petra Exton since 2015, known for eccentric and unpredictable comedic persona","self-deprecating, surreal, awkward, comedian, British, Taskmaster, panel shows, underdog, eccentric, podcaster",7
