series,episode,series_code,episode_code,episode_title,imdb_rating,episode_id,imdb_rating_relative
1,1,S1,E1,Melon Buffet,8.0,1_1,-0.7925939239012206
1,2,S1,E2,The Pie Whisperer,8.3,1_2,1.2455047375590576
1,3,S1,E3,The Poet and the Egg,8.2,1_3,0.5661385170722901
1,4,S1,E4,Down an Octave,8.2,1_4,0.5661385170722901
1,5,S1,E5,Little Denim Shorts,8.1,1_5,-0.11322770341446527
1,6,S1,E6,The Last Supper,7.9,1_6,-1.471960144387976
2,1,S2,E1,Fear of Failure,8.3,2_1,1.4142135623731016
2,2,S2,E2,Pork Is a Sausage,8.0,2_2,-0.7071067811865445
2,3,S2,E3,A Pistachio Éclair,8.0,2_3,-0.7071067811865445
2,4,S2,E4,Welcome to Rico Face,8.0,2_4,-0.7071067811865445
2,5,S2,E5,There's Strength in Arches,8.2,2_5,0.7071067811865445
3,1,S3,E1,Pea in a Haystack,8.1,3_1,0.0
3,2,S3,E2,The Dong and the Gong,8.2,3_2,1.4142135623730951
3,3,S3,E3,Little Polythene Grief Cave,8.1,3_3,0.0
3,4,S3,E4,A Very Nuanced Character,8.0,3_4,-1.4142135623730951
3,5,S3,E5,The F.I.P.,8.1,3_5,0.0
4,1,S4,E1,A Fat Bald White Man,8.2,4_1,0.21213203435595232
4,2,S4,E2,Look at Me,8.2,4_2,0.21213203435595232
4,3,S4,E3,Hollowing Out a Baguette,8.3,4_3,0.7778174593051987
4,4,S4,E4,Friendship Is Truth,7.9,4_4,-1.4849242404917566
4,5,S4,E5,Meat,8.2,4_5,0.21213203435595232
4,6,S4,E6,Spatchcock It,7.9,4_6,-1.4849242404917566
4,7,S4,E7,No Stars for Naughty Boys,8.2,4_7,0.21213203435595232
4,8,S4,E8,Tony Three Pies,8.4,4_8,1.343502884254435
5,1,S5,E1,Dignity Intact,7.9,5_1,-0.6585953658489165
5,2,S5,E2,The Leprechaun or the Lesbian,7.9,5_2,-0.6585953658489165
5,3,S5,E3,Phoenix,8.0,5_3,-0.3486681348611927
5,4,S5,E4,Residue Around the Hoof,7.8,5_4,-0.968522596836643
5,5,S5,E5,A Wind-Dried Puffin,8.3,5_5,0.5811135581019842
5,6,S5,E6,Spoony Neeson,8.2,5_6,0.2711863271142549
5,7,S5,E7,Boing Boing,8.0,5_7,-0.3486681348611927
5,8,S5,E8,Their Water's So Delicious,8.8,5_8,2.1307497130406086
6,1,S6,E1,"The Old, Soft, Curved Padlock",7.5,6_1,-0.6961432213383801
6,2,S6,E2,Tarpeters,7.6,6_2,-0.19889806323953466
6,3,S6,E3,One Warm Prawn,7.4,6_3,-1.1933883794372255
6,4,S6,E4,BMXing!,7.5,6_4,-0.6961432213383801
6,5,S6,E5,H,7.8,6_5,0.7955922529581607
6,6,S6,E6,We Met at Mealtimes,7.6,6_6,-0.19889806323953466
6,7,S6,E7,Roadkill Doused in Syrup,7.8,6_7,0.7955922529581607
6,8,S6,E8,What Kind of Pictures?,7.4,6_8,-1.1933883794372255
6,9,S6,E9,The Bubble Brothers,7.8,6_9,0.7955922529581607
6,10,S6,E10,He Was a Different Man,8.0,6_10,1.790082569155856
7,1,S7,E1,The Mean Bean,8.3,7_1,0.0
7,2,S7,E2,My Eyes Are Circles,8.1,7_2,-1.0000000000000053
7,3,S7,E3,Twelve Blush Majesty Two,8.3,7_3,0.0
7,4,S7,E4,OLLIE,8.5,7_4,0.9999999999999966
7,5,S7,E5,Lotta Soup,8.0,7_5,-1.5000000000000038
7,6,S7,E6,A Coquettish Fascinator,8.2,7_6,-0.5000000000000071
7,7,S7,E7,The Perfect Stuff,8.4,7_7,0.4999999999999983
7,8,S7,E8,Mother Honks Her Horn,8.2,7_8,-0.5000000000000071
7,9,S7,E9,The Pendulum Draws the Eye,8.3,7_9,0.0
7,10,S7,E10,I Can Hear It Gooping,8.7,7_10,1.9999999999999931
8,1,S8,E1,Hello,7.7,8_1,-0.1519109050625533
8,2,S8,E2,A Novel About Russian Gulags,7.6,8_2,-0.9114654303753064
8,3,S8,E3,Stuck in a Mammal Groove,7.6,8_3,-0.9114654303753064
8,4,S8,E4,The Barrel Dad,7.7,8_4,-0.1519109050625533
8,5,S8,E5,Stay Humble,7.6,8_5,-0.9114654303753064
8,6,S8,E6,Rock 'n' Roll Umlaut,7.7,8_6,-0.1519109050625533
8,7,S8,E7,This Is Trevor,7.7,8_7,-0.1519109050625533
8,8,S8,E8,Aquatic Sewing Machine,7.9,8_8,1.367198145562946
8,9,S8,E9,I've Been a Bit Ill,7.7,8_9,-0.1519109050625533
8,10,S8,E10,Clumpy Swayey Clumsy Man,8.0,8_10,2.1267526708756925
9,1,S9,E1,Join Our Cult,7.8,9_1,-0.7108555511620773
9,2,S9,E2,Butter in the Microwave,8.2,9_2,1.4763922985673903
9,3,S9,E3,Five Miles Per Day,7.8,9_3,-0.7108555511620773
9,4,S9,E4,Quisps,8.1,9_4,0.9295803361350246
9,5,S9,E5,Another Spoon,7.9,9_5,-0.16404358872970679
9,6,S9,E6,"Bready, Bready, Bready",7.7,9_6,-1.257667513594443
9,7,S9,E7,A Cuddle,7.8,9_7,-0.7108555511620773
9,8,S9,E8,Shaqinahat,7.8,9_8,-0.7108555511620773
9,9,S9,E9,Don't Like Them Go Bang,8.0,9_9,0.38276837370265887
9,10,S9,E10,Think About the Spirit,8.2,9_10,1.4763922985673903
10,1,S10,E1,God's Haemorrhoid,7.6,10_1,0.6076436202502075
10,2,S10,E2,A Documentary About Despots,7.4,10_2,-0.9114654303752875
10,3,S10,E3,Point of Swivel,7.7,10_3,1.3671981455629616
10,4,S10,E4,Toshwash,7.4,10_4,-0.9114654303752875
10,5,S10,E5,I Hate Your Trainers,7.5,10_5,-0.15191090506254004
10,6,S10,E6,Hippopotamus,7.7,10_6,1.3671981455629616
10,7,S10,E7,Legit Glass,7.5,10_7,-0.15191090506254004
10,8,S10,E8,Moments of Silence,7.3,10_8,-1.6710199556880416
10,9,S10,E9,Air Horn Andy,7.5,10_9,-0.15191090506254004
10,10,S10,E10,Dog Meat Trifle,7.6,10_10,0.6076436202502075
11,1,S11,E1,It's Not Your Fault,7.8,11_1,-0.5359422007578734
11,2,S11,E2,The Lure of the Treacle Puppies,7.8,11_2,-0.5359422007578734
11,3,S11,E3,Run Up a Tree to the Moon,7.5,11_3,-1.6078266022736167
11,4,S11,E4,Premature Conker,8.0,11_4,0.17864740025262338
11,5,S11,E5,Slap and Tong,8.0,11_5,0.17864740025262338
11,6,S11,E6,Absolute Casserole,8.5,11_6,1.9651214027788635
