SeriesID,EpisodeID,TaskID,ContestantID,ContestantName,Score
1,1,1,Contestant1,Barbara Reed,4
1,1,1,Contestant2,Una Reed,5
1,1,1,Contestant3,Oliver Morgan,3
1,1,1,Contestant4,Rose Gray,5
1,1,1,Contestant5,Sally Watson,5
1,1,2,Contestant1,Barbara Reed,2
1,1,2,Contestant2,Una Reed,3
1,1,2,Contestant3,Oliver Morgan,3
1,1,2,Contestant4,Rose Gray,3
1,1,2,Contestant5,Sally Watson,5
1,1,3,Contestant1,Barbara Reed,4
1,1,3,Contestant2,Una Reed,3
1,1,3,Contestant3,Oliver Morgan,5
1,1,3,Contestant4,Rose Gray,2
1,1,3,Contestant5,Sally Watson,4
1,1,4,Contestant1,Barbara Reed,2
1,1,4,Contestant2,Una Reed,4
1,1,4,Contestant3,Oliver Morgan,5
1,1,4,Contestant4,Rose Gray,1
1,1,4,Contestant5,Sally Watson,4
1,1,5,Contestant1,Barbara Reed,2
1,1,5,Contestant2,Una Reed,5
1,1,5,Contestant3,Oliver Morgan,4
1,1,5,Contestant4,Rose Gray,1
1,1,5,Contestant5,Sally Watson,1
1,2,1,Contestant1,Barbara Reed,3
1,2,1,Contestant2,Una Reed,3
1,2,1,Contestant3,Oliver Morgan,2
1,2,1,Contestant4,Rose Gray,4
1,2,1,Contestant5,Sally Watson,4
1,2,2,Contestant1,Barbara Reed,3
1,2,2,Contestant2,Una Reed,4
1,2,2,Contestant3,Oliver Morgan,4
1,2,2,Contestant4,Rose Gray,1
1,2,2,Contestant5,Sally Watson,3
1,2,3,Contestant1,Barbara Reed,5
1,2,3,Contestant2,Una Reed,3
1,2,3,Contestant3,Oliver Morgan,5
1,2,3,Contestant4,Rose Gray,1
1,2,3,Contestant5,Sally Watson,2
1,2,4,Contestant1,Barbara Reed,4
1,2,4,Contestant2,Una Reed,1
1,2,4,Contestant3,Oliver Morgan,4
1,2,4,Contestant4,Rose Gray,2
1,2,4,Contestant5,Sally Watson,2
1,2,5,Contestant1,Barbara Reed,1
1,2,5,Contestant2,Una Reed,2
1,2,5,Contestant3,Oliver Morgan,5
1,2,5,Contestant4,Rose Gray,2
1,2,5,Contestant5,Sally Watson,4
1,3,1,Contestant1,Barbara Reed,4
1,3,1,Contestant2,Una Reed,4
1,3,1,Contestant3,Oliver Morgan,4
1,3,1,Contestant4,Rose Gray,5
1,3,1,Contestant5,Sally Watson,3
1,3,2,Contestant1,Barbara Reed,1
1,3,2,Contestant2,Una Reed,4
1,3,2,Contestant3,Oliver Morgan,2
1,3,2,Contestant4,Rose Gray,4
1,3,2,Contestant5,Sally Watson,2
1,3,3,Contestant1,Barbara Reed,2
1,3,3,Contestant2,Una Reed,4
1,3,3,Contestant3,Oliver Morgan,5
1,3,3,Contestant4,Rose Gray,2
1,3,3,Contestant5,Sally Watson,2
1,3,4,Contestant1,Barbara Reed,4
1,3,4,Contestant2,Una Reed,2
1,3,4,Contestant3,Oliver Morgan,2
1,3,4,Contestant4,Rose Gray,4
1,3,4,Contestant5,Sally Watson,4
1,3,5,Contestant1,Barbara Reed,1
1,3,5,Contestant2,Una Reed,5
1,3,5,Contestant3,Oliver Morgan,5
1,3,5,Contestant4,Rose Gray,2
1,3,5,Contestant5,Sally Watson,5
1,4,1,Contestant1,Barbara Reed,2
1,4,1,Contestant2,Una Reed,1
1,4,1,Contestant3,Oliver Morgan,4
