task_id,show_title,series,episode,episode_title,task_title,contestant_name,score_details,total_score,is_winner,task_episode_id
1,Taskmaster UK,1,1,Melon buffet,The most unusual item,Frank Skinner,4 points,4,False,1_1_1
1,Taskmaster UK,1,1,Melon buffet,The most unusual item,Josh Widdicombe,1 points,1,False,1_1_1
1,Taskmaster UK,1,1,Melon buffet,The most unusual item,Roisin Conaty,2 points,2,False,1_1_1
1,Taskmaster UK,1,1,Melon buffet,The most unusual item,Romesh Ranganathan,3 points,3,False,1_1_1
1,Taskmaster UK,1,1,Melon buffet,The most unusual item,Tim Key, = 5 (Winner),5,True,1_1_1
2,Taskmaster UK,1,1,Melon buffet,Eat as much watermelon as possible,Frank Skinner,2 points,2,False,1_1_2
2,Taskmaster UK,1,1,Melon buffet,Eat as much watermelon as possible,Josh Widdicombe,3 points,3,False,1_1_2
2,Taskmaster UK,1,1,Melon buffet,Eat as much watermelon as possible,Roisin Conaty,1 points,1,False,1_1_2
2,Taskmaster UK,1,1,Melon buffet,Eat as much watermelon as possible,Romesh Ranganathan, = 5 (Winner),5,True,1_1_2
2,Taskmaster UK,1,1,Melon buffet,Eat as much watermelon as possible,Tim Key,4 points,4,False,1_1_2
3,Taskmaster UK,1,1,Melon buffet,Paint a horse while riding a horse,Frank Skinner, = 5 (Winner),5,True,1_1_3
3,Taskmaster UK,1,1,Melon buffet,Paint a horse while riding a horse,Josh Widdicombe,3 points,3,False,1_1_3
3,Taskmaster UK,1,1,Melon buffet,Paint a horse while riding a horse,Roisin Conaty,1 points,1,False,1_1_3
3,Taskmaster UK,1,1,Melon buffet,Paint a horse while riding a horse,Romesh Ranganathan,4 points,4,False,1_1_3
3,Taskmaster UK,1,1,Melon buffet,Paint a horse while riding a horse,Tim Key,2 points,2,False,1_1_3
4,Taskmaster UK,1,1,Melon buffet,Empty the bathtub,Frank Skinner,4 points,4,False,1_1_4
4,Taskmaster UK,1,1,Melon buffet,Empty the bathtub,Josh Widdicombe,3 points,3,False,1_1_4
4,Taskmaster UK,1,1,Melon buffet,Empty the bathtub,Roisin Conaty,2 points,2,False,1_1_4
4,Taskmaster UK,1,1,Melon buffet,Empty the bathtub,Romesh Ranganathan, = 5 (Winner),5,True,1_1_4
4,Taskmaster UK,1,1,Melon buffet,Empty the bathtub,Tim Key,1 points,1,False,1_1_4
5,Taskmaster UK,1,1,Melon buffet,Pop up a tent and pop on a onesie,Frank Skinner,4 points,4,False,1_1_5
5,Taskmaster UK,1,1,Melon buffet,Pop up a tent and pop on a onesie,Josh Widdicombe,3 points,3,False,1_1_5
5,Taskmaster UK,1,1,Melon buffet,Pop up a tent and pop on a onesie,Roisin Conaty,1 points,1,False,1_1_5
5,Taskmaster UK,1,1,Melon buffet,Pop up a tent and pop on a onesie,Romesh Ranganathan,2 points,2,False,1_1_5
5,Taskmaster UK,1,1,Melon buffet,Pop up a tent and pop on a onesie,Tim Key, = 5 (Winner),5,True,1_1_5
6,Taskmaster UK,1,1,Melon buffet,Find Alex,Frank Skinner, = 0 (Winner),0,True,1_1_6
6,Taskmaster UK,1,1,Melon buffet,Find Alex,Romesh Ranganathan,0,0,False,1_1_6
7,Taskmaster UK,1,2,The pie whisperer,The most impressive item,Frank Skinner,4 points,4,False,1_2_7
7,Taskmaster UK,1,2,The pie whisperer,The most impressive item,Josh Widdicombe,2 points,2,False,1_2_7
7,Taskmaster UK,1,2,The pie whisperer,The most impressive item,Roisin Conaty,3 points,3,False,1_2_7
7,Taskmaster UK,1,2,The pie whisperer,The most impressive item,Romesh Ranganathan,1 points,1,False,1_2_7
7,Taskmaster UK,1,2,The pie whisperer,The most impressive item,Tim Key, = 5 (Winner),5,True,1_2_7
8,Taskmaster UK,1,2,The pie whisperer,High-five a 55-year-old,Frank Skinner,2 points,2,False,1_2_8
8,Taskmaster UK,1,2,The pie whisperer,High-five a 55-year-old,Josh Widdicombe, = 5 (Winner),5,True,1_2_8
8,Taskmaster UK,1,2,The pie whisperer,High-five a 55-year-old,Roisin Conaty,4 points,4,False,1_2_8
8,Taskmaster UK,1,2,The pie whisperer,High-five a 55-year-old,Romesh Ranganathan,1 points,1,False,1_2_8
8,Taskmaster UK,1,2,The pie whisperer,High-five a 55-year-old,Tim Key,3 points,3,False,1_2_8
9,Taskmaster UK,1,2,The pie whisperer,Identify the contents of the pies,Frank Skinner,1 points,1,False,1_2_9
9,Taskmaster UK,1,2,The pie whisperer,Identify the contents of the pies,Josh Widdicombe,2 points,2,False,1_2_9
9,Taskmaster UK,1,2,The pie whisperer,Identify the contents of the pies,Roisin Conaty,4 points,4,False,1_2_9
9,Taskmaster UK,1,2,The pie whisperer,Identify the contents of the pies,Romesh Ranganathan,3 points,3,False,1_2_9
9,Taskmaster UK,1,2,The pie whisperer,Identify the contents of the pies,Tim Key, = 5 (Winner),5,True,1_2_9
10,Taskmaster UK,1,2,The pie whisperer,Do something that will look impressive in reverse,Frank Skinner,1 points,1,False,1_2_10
10,Taskmaster UK,1,2,The pie whisperer,Do something that will look impressive in reverse,Josh Widdicombe,4 points,4,False,1_2_10
10,Taskmaster UK,1,2,The pie whisperer,Do something that will look impressive in reverse,Roisin Conaty, = 5 (Winner),5,True,1_2_10
10,Taskmaster UK,1,2,The pie whisperer,Do something that will look impressive in reverse,Romesh Ranganathan, = 5 (Winner),5,True,1_2_10
10,Taskmaster UK,1,2,The pie whisperer,Do something that will look impressive in reverse,Tim Key,3 points,3,False,1_2_10
11,Taskmaster UK,1,2,The pie whisperer,Unshackle yourself and sprint one metre,Frank Skinner,1 points,1,False,1_2_11
11,Taskmaster UK,1,2,The pie whisperer,Unshackle yourself and sprint one metre,Josh Widdicombe,3 points,3,False,1_2_11
11,Taskmaster UK,1,2,The pie whisperer,Unshackle yourself and sprint one metre,Roisin Conaty, = 5 (Winner),5,True,1_2_11
11,Taskmaster UK,1,2,The pie whisperer,Unshackle yourself and sprint one metre,Romesh Ranganathan,4 points,4,False,1_2_11
11,Taskmaster UK,1,2,The pie whisperer,Unshackle yourself and sprint one metre,Tim Key,2 points,2,False,1_2_11
12,Taskmaster UK,1,3,The poet and the egg,The most meaningful item,Frank Skinner,4 points,4,False,1_3_12
12,Taskmaster UK,1,3,The poet and the egg,The most meaningful item,Josh Widdicombe,2 points,2,False,1_3_12
