season,episode,title,imdb_id,total_votes,unweighted_mean,hist10_pct,hist10_votes,hist9_pct,hist9_votes,hist8_pct,hist8_votes,hist7_pct,hist7_votes,hist6_pct,hist6_votes,hist5_pct,hist5_votes,hist4_pct,hist4_votes,hist3_pct,hist3_votes,hist2_pct,hist2_votes,hist1_pct,hist1_votes
1,1,Melon buffet,tt4950176,413,8.2,20.1,83,20.3,84,33.4,138,17.7,73,4.1,17,2.2,9,0.5,2,0.5,2,0.2,1,1.0,4
1,2,The pie whisperer,tt4950200,359,8.4,22.6,81,29.2,105,29.0,104,11.1,40,4.7,17,1.1,4,0.6,2,0.6,2,0.3,1,0.8,3
1,3,The poet and the egg,tt4950210,336,8.4,23.2,78,25.9,87,29.5,99,14.3,48,4.8,16,0.9,3,0.3,1,0.6,2,0.0,0,0.6,2
1,4,Down an octave,tt4956136,324,8.4,22.5,73,25.3,82,31.5,102,14.5,47,3.7,12,0.3,1,0.6,2,0.3,1,0.3,1,0.9,3
1,5,Little denim shorts,tt4970856,315,8.2,20.3,64,21.9,69,34.0,107,16.5,52,4.4,14,1.0,3,0.6,2,0.3,1,0.3,1,0.6,2
1,6,The Last Supper,tt5040506,316,8.1,19.9,63,19.3,61,32.6,103,19.6,62,5.4,17,1.3,4,0.6,2,0.0,0,0.6,2,0.6,2
2,1,Fear of failure,tt5070228,336,8.4,27.1,91,27.7,93,26.2,88,12.2,41,3.6,12,0.3,1,0.6,2,0.6,2,0.6,2,1.2,4
2,2,Pork is a sausage,tt5785480,294,8.1,21.8,64,21.4,63,30.3,89,17.0,50,4.4,13,0.7,2,0.7,2,1.4,4,1.0,3,1.4,4
2,3,A pistachio éclair,tt5785478,294,8.1,21.4,63,20.1,59,30.6,90,18.4,54,4.4,13,2.0,6,0.7,2,0.7,2,0.3,1,1.4,4
2,4,Welcome to Rico Face,tt5785484,289,8.1,18.3,53,20.4,59,34.6,100,17.3,50,4.8,14,1.0,3,0.7,2,0.7,2,0.7,2,1.4,4
2,5,There’s strength in arches,tt5785482,301,8.3,25.2,76,22.9,69,29.2,88,15.9,48,2.7,8,0.7,2,0.3,1,0.7,2,0.7,2,1.7,5
3,1,A pea in a haystack,tt5070230,296,8.3,23.6,70,20.3,60,33.8,100,16.2,48,4.1,12,0.3,1,0.0,0,0.7,2,0.3,1,0.7,2
3,2,The dong and the gong,tt6114352,285,8.3,24.2,69,20.4,58,34.7,99,13.7,39,4.9,14,0.0,0,0.4,1,0.4,1,0.4,1,1.1,3
3,3,Little polythene grief cave,tt6114356,276,8.2,22.8,63,18.5,51,35.1,97,16.7,46,4.3,12,0.4,1,0.4,1,0.4,1,0.0,0,1.4,4
3,4,A very nuanced character,tt6114358,270,8.2,20.7,56,17.8,48,35.2,95,18.5,50,4.8,13,0.7,2,0.4,1,0.4,1,0.4,1,1.1,3
3,5,The F.I.P.,tt6114382,274,8.3,21.9,60,23.4,64,33.2,91,14.6,40,4.4,12,0.4,1,0.4,1,0.7,2,0.0,0,1.1,3
4,1,A fat bald white man,tt6396216,315,8.4,27.0,85,23.8,75,26.7,84,15.9,50,3.8,12,0.3,1,0.6,2,0.6,2,0.3,1,1.0,3
4,2,Look at me,tt6397392,283,8.4,27.6,78,20.5,58,27.6,78,19.4,55,2.5,7,0.7,2,0.7,2,0.0,0,0.4,1,0.7,2
4,3,Hollowing out a baguette,tt6397394,287,8.5,28.6,82,25.1,72,24.0,69,16.7,48,3.1,9,0.0,0,1.0,3,0.3,1,0.0,0,1.0,3
4,4,Friendship is truth,tt6397398,271,8.1,21.0,57,15.9,43,33.6,91,19.2,52,6.3,17,1.1,3,0.7,2,0.4,1,0.4,1,1.5,4
4,5,Meat,tt6397390,267,8.4,27.0,72,22.5,60,28.8,77,15.4,41,4.1,11,0.4,1,0.4,1,0.7,2,0.0,0,0.7,2
4,6,Spatchcock it,tt6397396,267,8.1,21.3,57,16.1,43,33.7,90,20.6,55,5.2,14,0.7,2,0.4,1,0.4,1,0.4,1,1.1,3
4,7,No stars for naughty boys,tt6397402,264,8.4,27.3,72,22.0,58,28.0,74,17.8,47,2.7,7,0.4,1,0.4,1,0.4,1,0.4,1,0.8,2
