date,show,series,episode_num,episode_title,show_url,season_url,episode_url
2015-07-28,Taskmaster UK,Series 1,Episode 1,Melon buffet,https://taskmaster.info/show.php?id=1,https://taskmaster.info/season.php?id=1,https://taskmaster.info/episode.php?id=1
2015-08-04,Taskmaster UK,Series 1,Episode 2,The pie whisperer,https://taskmaster.info/show.php?id=1,https://taskmaster.info/season.php?id=1,https://taskmaster.info/episode.php?id=2
2015-08-11,Taskmaster UK,Series 1,Episode 3,The poet and the egg,https://taskmaster.info/show.php?id=1,https://taskmaster.info/season.php?id=1,https://taskmaster.info/episode.php?id=3
2015-08-18,Taskmaster UK,Series 1,Episode 4,Down an octave,https://taskmaster.info/show.php?id=1,https://taskmaster.info/season.php?id=1,https://taskmaster.info/episode.php?id=4
2015-08-25,Taskmaster UK,Series 1,Episode 5,Little denim shorts,https://taskmaster.info/show.php?id=1,https://taskmaster.info/season.php?id=1,https://taskmaster.info/episode.php?id=5
2015-09-01,Taskmaster UK,Series 1,Episode 6,The Last Supper,https://taskmaster.info/show.php?id=1,https://taskmaster.info/season.php?id=1,https://taskmaster.info/episode.php?id=6
2016-06-21,Taskmaster UK,Series 2,Episode 1,Fear of failure,https://taskmaster.info/show.php?id=1,https://taskmaster.info/season.php?id=2,https://taskmaster.info/episode.php?id=7
2016-06-28,Taskmaster UK,Series 2,Episode 2,Pork is a sausage,https://taskmaster.info/show.php?id=1,https://taskmaster.info/season.php?id=2,https://taskmaster.info/episode.php?id=8
2016-07-05,Taskmaster UK,Series 2,Episode 3,A pistachio éclair,https://taskmaster.info/show.php?id=1,https://taskmaster.info/season.php?id=2,https://taskmaster.info/episode.php?id=9
2016-07-12,Taskmaster UK,Series 2,Episode 4,Welcome to Rico Face,https://taskmaster.info/show.php?id=1,https://taskmaster.info/season.php?id=2,https://taskmaster.info/episode.php?id=10
2016-07-19,Taskmaster UK,Series 2,Episode 5,There’s strength in arches,https://taskmaster.info/show.php?id=1,https://taskmaster.info/season.php?id=2,https://taskmaster.info/episode.php?id=11
2016-08-25,Taskmaster UK,Edinburgh Does... Taskmaster,Special,Edinburgh Does... Taskmaster,https://taskmaster.info/show.php?id=1,https://taskmaster.info/season.php?id=36,
2016-10-04,Taskmaster UK,Series 3,Episode 1,A pea in a haystack,https://taskmaster.info/show.php?id=1,https://taskmaster.info/season.php?id=3,https://taskmaster.info/episode.php?id=12
2016-10-11,Taskmaster UK,Series 3,Episode 2,The dong and the gong,https://taskmaster.info/show.php?id=1,https://taskmaster.info/season.php?id=3,https://taskmaster.info/episode.php?id=13
2016-10-18,Taskmaster UK,Series 3,Episode 3,Little polythene grief cave,https://taskmaster.info/show.php?id=1,https://taskmaster.info/season.php?id=3,https://taskmaster.info/episode.php?id=14
2016-10-25,Taskmaster UK,Series 3,Episode 4,A very nuanced character,https://taskmaster.info/show.php?id=1,https://taskmaster.info/season.php?id=3,https://taskmaster.info/episode.php?id=15
2016-11-01,Taskmaster UK,Series 3,Episode 5,The F.I.P.,https://taskmaster.info/show.php?id=1,https://taskmaster.info/season.php?id=3,https://taskmaster.info/episode.php?id=16
2017-04-25,Taskmaster UK,Series 4,Episode 1,A fat bald white man,https://taskmaster.info/show.php?id=1,https://taskmaster.info/season.php?id=4,https://taskmaster.info/episode.php?id=17
2017-05-02,Taskmaster UK,Series 4,Episode 2,Look at me,https://taskmaster.info/show.php?id=1,https://taskmaster.info/season.php?id=4,https://taskmaster.info/episode.php?id=18
2017-05-09,Taskmaster UK,Series 4,Episode 3,Hollowing out a baguette,https://taskmaster.info/show.php?id=1,https://taskmaster.info/season.php?id=4,https://taskmaster.info/episode.php?id=19
2017-05-16,Taskmaster UK,Series 4,Episode 4,Friendship is truth,https://taskmaster.info/show.php?id=1,https://taskmaster.info/season.php?id=4,https://taskmaster.info/episode.php?id=20
2017-05-23,Taskmaster UK,Series 4,Episode 5,Meat,https://taskmaster.info/show.php?id=1,https://taskmaster.info/season.php?id=4,https://taskmaster.info/episode.php?id=21
2017-05-30,Taskmaster UK,Series 4,Episode 6,Spatchcock it,https://taskmaster.info/show.php?id=1,https://taskmaster.info/season.php?id=4,https://taskmaster.info/episode.php?id=22
2017-06-06,Taskmaster UK,Series 4,Episode 7,No stars for naughty boys,https://taskmaster.info/show.php?id=1,https://taskmaster.info/season.php?id=4,https://taskmaster.info/episode.php?id=23
2017-06-13,Taskmaster UK,Series 4,Episode 8,Tony Three Pies,https://taskmaster.info/show.php?id=1,https://taskmaster.info/season.php?id=4,https://taskmaster.info/episode.php?id=24
